År;DagMånad;Totalt;M Tot;M 0-64 år;M 65-79 år;M 80-89 år;M 90+ år;K Tot;K 0-64 år;K 65-79 år;K 80-89 år;K 90+ år;-;Sort;Dag;Månad;Ar;;;;;-;Sort;Dag;Månad
2020;2 juli;238;122;20;40;39;23;116;12;31;40;33;;0702;2;juli;2020;;;;;;709;9;juli
2020;1 juli;239;123;18;40;49;16;116;7;38;41;30;;0701;1;juli;2020;;;;;;710;10;juli
2020;30 juni;228;119;17;38;40;24;109;12;25;32;40;;0630;30;juni;2020;;;;;;711;11;juli
2020;29 juni;198;87;6;35;26;20;111;10;27;43;31;;0629;29;juni;2020;;;;;;712;12;juli
2020;28 juni;270;135;19;37;53;26;135;14;19;54;48;;0628;28;juni;2020;;;;;;713;13;juli
2020;27 juni;250;133;21;44;44;24;117;8;24;38;47;;0627;27;juni;2020;;;;;;714;14;juli
2020;26 juni;222;106;17;33;36;20;116;6;31;45;34;;0626;26;juni;2020;;;;;;715;15;juli
2020;25 juni;256;142;16;49;50;27;114;6;24;33;51;;0625;25;juni;2020;;;;;;716;16;juli
2020;24 juni;226;106;17;33;32;24;120;8;34;40;38;;0624;24;juni;2020;;;;;;717;17;juli
2020;23 juni;220;121;19;46;36;20;99;10;27;31;31;;0623;23;juni;2020;;;;;;718;18;juli
2020;22 juni;229;108;26;24;35;23;121;10;26;50;35;;0622;22;juni;2020;;;;;;719;19;juli
2020;21 juni;213;111;17;41;36;17;102;8;21;36;37;;0621;21;juni;2020;;;;;;720;20;juli
2020;20 juni;234;126;16;48;46;16;108;9;21;37;41;;0620;20;juni;2020;;;;;;721;21;juli
2020;19 juni;222;114;19;39;34;22;108;3;26;44;35;;0619;19;juni;2020;;;;;;722;22;juli
2020;18 juni;255;138;18;43;52;25;117;14;29;41;33;;0618;18;juni;2020;;;;;;723;23;juli
2020;17 juni;261;132;14;51;51;16;129;6;27;54;42;;0617;17;juni;2020;;;;;;724;24;juli
2020;16 juni;237;127;16;42;44;25;110;13;23;34;40;;0616;16;juni;2020;;;;;;725;25;juli
2020;15 juni;247;120;19;36;49;16;127;11;29;46;41;;0615;15;juni;2020;;;;;;726;26;juli
2020;14 juni;212;101;14;42;32;13;111;7;33;39;32;;0614;14;juni;2020;;;;;;727;27;juli
2020;13 juni;255;127;17;50;39;21;128;10;40;29;49;;0613;13;juni;2020;;;;;;728;28;juli
2020;12 juni;244;116;12;35;50;19;128;6;35;43;44;;0612;12;juni;2020;;;;;;729;29;juli
2020;11 juni;243;124;11;41;50;22;119;7;36;45;31;;0611;11;juni;2020;;;;;;730;30;juli
2020;10 juni;278;137;14;54;47;22;141;9;39;43;50;;0610;10;juni;2020;;;;;;731;31;juli
2020;9 juni;258;136;18;47;55;16;122;8;34;48;32;;0609;9;juni;2020;;;;;;801;1;augusti
2020;8 juni;231;108;8;47;38;15;123;13;28;41;41;;0608;8;juni;2020;;;;;;802;2;augusti
2020;7 juni;234;115;9;43;43;20;119;11;33;43;32;;0607;7;juni;2020;;;;;;803;3;augusti
2020;6 juni;233;109;14;31;40;24;124;8;30;45;41;;0606;6;juni;2020;;;;;;804;4;augusti
2020;5 juni;269;142;22;38;55;27;127;17;30;44;36;;0605;5;juni;2020;;;;;;805;5;augusti
2020;4 juni;227;121;16;34;53;18;106;4;27;43;32;;0604;4;juni;2020;;;;;;806;6;augusti
2020;3 juni;255;121;21;47;37;16;134;9;38;45;42;;0603;3;juni;2020;;;;;;807;7;augusti
2020;2 juni;269;138;20;44;51;23;131;13;29;45;44;;0602;2;juni;2020;;;;;;808;8;augusti
2020;1 juni;264;129;23;43;43;20;135;14;25;47;49;;0601;1;juni;2020;;;;;;809;9;augusti
2020;31 maj;256;140;22;47;44;27;116;8;31;37;40;;0531;31;maj;2020;;;;;;810;10;augusti
2020;30 maj;242;119;17;41;38;23;123;8;28;38;49;;0530;30;maj;2020;;;;;;811;11;augusti
2020;29 maj;230;110;12;39;42;17;120;8;29;36;47;;0529;29;maj;2020;;;;;;812;12;augusti
2020;28 maj;216;95;13;33;30;19;121;14;28;46;33;;0528;28;maj;2020;;;;;;813;13;augusti
2020;27 maj;245;118;17;39;48;14;127;12;27;53;35;;0527;27;maj;2020;;;;;;814;14;augusti
2020;26 maj;225;110;15;35;36;24;115;4;27;43;41;;0526;26;maj;2020;;;;;;815;15;augusti
2020;25 maj;242;124;15;44;46;19;118;9;24;46;39;;0525;25;maj;2020;;;;;;816;16;augusti
2020;24 maj;268;138;14;45;49;30;130;12;27;46;45;;0524;24;maj;2020;;;;;;817;17;augusti
2020;23 maj;270;134;19;42;48;25;136;11;35;49;41;;0523;23;maj;2020;;;;;;818;18;augusti
2020;22 maj;292;139;24;49;39;27;153;16;35;48;54;;0522;22;maj;2020;;;;;;819;19;augusti
2020;21 maj;249;125;12;50;35;28;124;10;35;35;44;;0521;21;maj;2020;;;;;;820;20;augusti
2020;20 maj;278;148;17;46;63;22;130;11;30;43;46;;0520;20;maj;2020;;;;;;821;21;augusti
2020;19 maj;259;130;18;50;35;27;129;10;27;49;43;;0519;19;maj;2020;;;;;;822;22;augusti
